roc_auc,avg_precision,fnr_at_0.3,fnr_at_0.5,fnr_at_0.7,accuracy,n,prevalence,predicted_positive_rate,Method,Hospital,Sex,AgeGroup
,1.0,0.0,0.0909,0.3636,90.91,11,100.0,90.91,GIFAIR-Per,Hospital_A,F,80+
,1.0,0.0,0.0,0.0,100.0,13,100.0,100.0,GIFAIR-Per,Hospital_B,M,0-20
,1.0,0.0,0.0,0.0,100.0,57,100.0,100.0,GIFAIR-Per,Hospital_B,M,20-40
,1.0,0.0,0.0,0.0,100.0,113,100.0,100.0,GIFAIR-Per,Hospital_B,M,40-60
,1.0,0.0,0.0,0.0,100.0,81,100.0,100.0,GIFAIR-Per,Hospital_B,M,60-80
,1.0,0.0,0.0,0.0,100.0,14,100.0,100.0,GIFAIR-Per,Hospital_B,F,0-20
,1.0,0.0,0.0,0.0,100.0,61,100.0,100.0,GIFAIR-Per,Hospital_B,F,20-40
,1.0,0.0,0.0,0.0,100.0,110,100.0,100.0,GIFAIR-Per,Hospital_B,F,40-60
,1.0,0.0,0.0,0.0,100.0,50,100.0,100.0,GIFAIR-Per,Hospital_B,F,60-80
0.5836,0.1143,1.0,1.0,1.0,92.31,78,6.41,1.28,GIFAIR-Per,Hospital_C,M,0-20
0.7618,0.1949,0.75,0.9,0.95,90.11,283,7.07,4.24,GIFAIR-Per,Hospital_C,M,20-40
0.675,0.1367,0.7857,0.9286,1.0,89.71,408,6.86,4.41,GIFAIR-Per,Hospital_C,M,40-60
0.6764,0.1443,0.8125,0.9375,1.0,88.46,208,7.69,4.81,GIFAIR-Per,Hospital_C,M,60-80
0.6667,0.3072,1.0,1.0,1.0,92.31,39,7.69,0.0,GIFAIR-Per,Hospital_C,F,0-20
0.6059,0.1555,0.5333,0.7333,0.9333,91.7,253,5.93,5.53,GIFAIR-Per,Hospital_C,F,20-40
0.6117,0.1651,0.8182,0.8788,0.9697,86.09,302,10.93,5.63,GIFAIR-Per,Hospital_C,F,40-60
0.4762,0.1167,0.9286,0.9286,1.0,81.68,131,10.69,9.16,GIFAIR-Per,Hospital_C,F,60-80
0.7647,0.9691,0.0,0.0588,0.1765,84.21,19,89.47,94.74,GIFAIR-Per,Hospital_D,M,40-60
0.675,0.8406,0.0,0.0,0.1,78.57,14,71.43,92.86,GIFAIR-Per,Hospital_D,M,60-80
0.4286,0.6136,0.0,0.0,0.1429,53.85,13,53.85,100.0,GIFAIR-Per,Hospital_D,F,40-60
0.5278,0.1465,1.0,1.0,1.0,90.0,20,10.0,0.0,GIFAIR-Per,Hospital_E,M,20-40
0.8068,0.4077,0.5,0.8333,1.0,88.0,50,12.0,4.0,GIFAIR-Per,Hospital_E,M,40-60
0.9722,0.8333,0.5,0.5,0.5,90.0,20,10.0,10.0,GIFAIR-Per,Hospital_E,M,60-80
0.8438,0.6349,0.75,0.75,0.75,85.0,20,20.0,5.0,GIFAIR-Per,Hospital_E,F,20-40
0.6057,0.2122,0.8,0.8,1.0,85.0,40,12.5,7.5,GIFAIR-Per,Hospital_E,F,40-60
